feature,mean_abs_shap
chestpain_4.0,0.5454709986529084
chestpain_2.0,0.3464072246808163
exerciseangia_1.0,0.27391089294275345
exerciseangia_0.0,0.2713715585537052
oldpeak,0.24574630266799813
gender_0.0,0.23257904259762385
noofmajorvessels_0.0,0.23235224804927587
missingindicator_slope_0.0,0.22479488485286697
gender_1.0,0.21992362227174594
serumcholestrol,0.17911186917728092
age,0.1671532157075378
maxheartrate,0.14413887095973213
slope_1.0,0.14005000639600615
missingindicator_noofmajorvessels_0.0,0.1321123662195693
missingindicator_fastingbloodsugar_0.0,0.13132554411812453
slope_2.0,0.13123067354759424
chestpain_3.0,0.09105548865189926
missingindicator_noofmajorvessels_1.0,0.08202687685844025
missingindicator_slope_1.0,0.06928111171118553
fastingbloodsugar_0.0,0.06461893392674274
fastingbloodsugar_1.0,0.06415756963894373
restingrelectro_0.0,0.05042721258217565
restingBP,0.047427823970088295
noofmajorvessels_1.0,0.02849789754768824
restingrelectro_2.0,0.0247551322230849
noofmajorvessels_2.0,0.022450276433090336
restingrelectro_1.0,0.022203007470918384
missingindicator_fastingbloodsugar_1.0,0.02187679358828508
slope_3.0,0.017088148545248916
missingindicator_exerciseangia_0.0,0.013312965466314533
chestpain_1.0,0.011264137881815703
missingindicator_restingBP,0.008246035971147474
missingindicator_oldpeak,0.007132613678809095
missingindicator_maxheartrate,0.006460898927202638
missingindicator_exerciseangia_1.0,0.00539794615931626
missingindicator_serumcholestrol,0.00458161057044664
noofmajorvessels_3.0,0.0025542628891143965
missingindicator_restingrelectro_0.0,0.0007434909385543125
missingindicator_restingrelectro_1.0,0.0006200407528139096
